Category,Disease / Skin Type,Brand Name,Active Ingredient,Main Indication,Quantity,Stock Status
Infectious Disease,Skin & Soft Tissue Infection,Dalacin C,Clindamycin Hydrochloride,Lincosamide antibiotic targeting gram-positive anaerobic clusters,33,In stock
Infectious Disease,Intestinal Parasites,Secnidal,Secnidazole,Single dose antiprotozoal eradication therapy for tissue parasites,24,In stock
Ophthalmology,Bacterial Conjunctivitis,Tobrex,Tobramycin,Topical ophthalmic antibiotic drops,50,In stock
Ophthalmology,Ocular Allergy & Redness,Efemoline,Fluorometholone,Corticosteroid eye drops for ocular inflammation,33,In stock
Ophthalmology,Severe Dry Eye Syndrome,Tears Naturale II,Dextran / Hypromellose,Lubricating artificial tears for dry eye relief,1,Low stock
Ophthalmology,Open-Angle Glaucoma,Xalatan,Latanoprost,Prostaglandin analog to lower intraocular pressure,48,In stock
Urology,Benign Prostatic Hyperplasia (BPH),Tamsulin,Tamsulosin Hydrochloride,Alpha-1 blocker to improve urinary flow in BPH,13,In stock
Urology,Erectile Dysfunction,Viagra,Sildenafil Citrate,PDE5 inhibitor to improve erectile response,17,In stock
Urology,Overactive Bladder,Ur暢an,Solifenacin Succinate,Anticholinergic to reduce urinary frequency and urgency,30,In stock
Urology,BPH Gland Size Reduction,Avodart,Dutasteride,Blocks Type II 5-alpha reductase to decrease prostate size,32,In stock
